RA,DEC,g,r,err_g,err_r,ebv,v,v_err,Member
336.1713865,5.3866147,23.08243448,22.50694688,0.013570262,0.017575656,0.128000006,-165.263,5.77592,0
336.1019767,5.3890844,22.56937762,21.67180901,0.011656415,0.015724621,0.123899996,-220.567,4.71333,1
336.0865719,5.3934391,22.37588844,22.32930568,0.011476585,0.017038594,0.123899996,-193.353,22.9245,0.5
336.0952978,5.3958278,22.05173036,21.5534849,0.010875294,0.015567392,0.123899996,-234.684,3.84227,1
336.1137207,5.4077161,21.78298992,21.16287598,0.010677172,0.015336026,0.124600001,-218.513,3.64391,1
336.0995182,5.411755,22.12937771,21.35037194,0.011006907,0.015452951,0.123899996,-226.16,5.04177,1
336.1102104,5.415895,21.87766229,21.22195746,0.010729493,0.015353947,0.124600001,-229.448,5.29433,1
336.07514,5.4196463,22.77854078,21.95116225,0.012312677,0.016172313,0.122100003,-208.452,6.66015,1
336.0950159,5.421972,22.92131337,22.21734597,0.012824664,0.01672554,0.122100003,-50.6869,6.93934,0
336.1001856,5.4241829,22.15791115,21.35378239,0.01093947,0.015411479,0.122100003,-218.262,3.56265,1
336.0574007,5.4585911,21.64905393,21.1073942,0.010605282,0.015302081,0.120800003,-25.7061,3.06025,0
336.058409,5.4393813,22.51569814,21.99310987,0.041937827,0.022344521,0.1245,-260.112,9.97339,0
