name,        RA,       Dec,Teff,logg ,Fe/H ,err ,Mg/Fe, err,Si/Fe,err ,Ca/Fe,err ,Ti/Fe, err,,,,,,
28  ,209.463208,+12.860278,5020,2.40 ,2.89 ,.24 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
15  ,209.529292,+12.856389,6134,2.70 ,3.30 ,.23 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
47  ,209.444250,+12.892389,5146,2.93 ,2.19 ,.28 ,     ,    ,+0.53,0.61,     ,    ,+0.93, 0.5,,,,,,
51  ,209.572875,+12.861889,5436,3.10 ,2.04 ,.29 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
57  ,209.535708,+12.854417,5684,3.27 ,2.66 ,.50 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
66  ,209.532417,+12.822694,5372,3.20 ,1.89 ,.23 ,+1.10, 0.5,-0.02,0.54,+1.10,0.54,     ,    ,,,,,,
151 ,209.511583,+12.771111,5853,3.88 ,1.78 ,.76 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
30  ,209.498875,+12.907333,5004,2.41 ,2.41 ,.17 ,+0.55, 0.8,-0.12,0.23,+0.55,0.88,     ,    ,,,,,,
54  ,209.541042,+12.798583,5043,2.92 ,2.92 ,.35 ,     ,    ,     ,    ,     ,    ,+0.93, 0.9,,,,,,
34  ,209.484083,+12.868806,5061,2.57 ,2.84 ,.18 ,     ,    ,+0.25,0.25,     ,    ,     ,    ,,,,,,
37  ,209.505875,+12.851444,5098,2.55 ,3.21 ,.28 ,     ,    ,+0.41,0.54,     ,    ,     ,    ,,,,,,
64  ,209.498000,+12.864778,5364,3.15 ,1.98 ,.30 ,     ,    ,+0.29,0.51,     ,    ,     ,    ,,,,,,
148 ,209.510542,+12.860083,5326,3.65 ,1.86 ,.24 ,     ,    ,     ,    ,     ,    ,+0.64, 0.2,,,,,,
46  ,209.432375,+12.790583,5045,2.89 ,2.18 ,.21 ,     ,    ,+0.40,0.31,     ,    ,     ,    ,,,,,,
56  ,209.539417,+12.857250,5230,3.05 ,2.71 ,.35 ,     ,    ,     ,    ,     ,    ,     ,    ,,,,,,
