objname Teff logg   vt  Fe/H  err Mg/Fe  err Si/Fe  err Ca/Fe  err Ti/Fe  err
2307607 4449 1.39 1.81 -1.15 0.13 +0.46 0.09 +0.33 0.09 +0.13 0.12 +0.26 0.09
2307000 4798 1.87 1.70 -1.25 0.13 +0.19 0.18 +0.17 0.11 +0.24 0.13 +0.20 0.11
2306204 5432 2.42 1.57 -1.22 0.14 -0.27 0.94 -0.08 0.26 -0.13 0.22 -0.02 0.33
1404710 5818 2.68 1.51 -1.73 0.19            +0.77 0.19 +0.41 0.28 +0.57 0.47
2307421 5676 2.61 1.52 -1.20 0.15 +0.30 0.39 +0.50 0.19 +0.07 0.23 +0.30 0.28
2306813 5565 2.62 1.52 -1.24 0.15            +0.35 0.22 +0.14 0.23 +0.21 0.29
2307338 4503 1.34 1.83 -1.05 0.13 +0.27 0.11 +0.22 0.09 +0.11 0.12 +0.40 0.09
2306981 4538 1.53 1.78 -1.16 0.13 +0.19 0.13 +0.35 0.11 +0.30 0.13 +0.29 0.09
2309452 4634 1.74 1.73 -1.21 0.13 +0.33 0.13 +0.34 0.10 +0.10 0.16 +0.31 0.10
2308096 4809 1.92 1.69 -1.03 0.13 +0.28 0.16 +0.05 0.11 +0.10 0.14 +0.03 0.11
2308038 4698 1.90 1.69 -1.15 0.13 +0.19 0.17 +0.45 0.11 +0.10 0.14 +0.22 0.10
2309186 5330 2.53 1.54 -1.08 0.14 +0.48 0.27 +0.31 0.16 +0.52 0.31 +0.29 0.22
2306777 5125 2.55 1.54 -1.18 0.14 +0.42 0.31 +0.31 0.19 +0.29 0.24 +0.54 0.17
2306882 5262 2.64 1.52 -0.95 0.14 +0.11 0.45 -0.04 0.28 +0.05 0.28 +0.34 0.25
2306717 5327 2.67 1.51 -1.07 0.15 +0.60 0.27 +0.26 0.28 +0.51 0.25 +0.07 0.40
2306306 5446 2.69 1.51 -1.01 0.15 -0.00 0.53 +0.12 0.29 -0.12 0.38 +0.62 0.23
2306436 5553 2.97 1.44 -0.54 0.16 +0.81 0.38 +0.04 0.34 +0.57 0.43 +0.14 0.40
2305498 5608 3.13 1.40 -1.51 0.33            +1.06 0.46 -0.06 0.87           
2306505 5134 2.06 1.66 -1.15 0.14 +0.56 0.21 -0.11 0.23 +0.13 0.22 +0.44 0.17
2306732 5187 2.19 1.62 -1.16 0.14 -0.18 0.46 +0.15 0.18 +0.08 0.24 -0.01 0.29
2307422 5783 2.57 1.53 -1.43 0.22 +0.68 0.74 +0.56 0.41 +0.49 0.50 +0.47 0.68
2306231 5435 2.57 1.53 -1.18 0.18            +0.09 0.38 +0.21 0.39 +0.58 0.34
2308447 5719 2.60 1.53 -1.13 0.20 +0.82 0.51 +0.06 0.47 +0.56 0.47           
2308637 4493 1.58 1.77 -1.23 0.13 +0.34 0.15 +0.29 0.13 +0.07 0.17 +0.20 0.11
2309391 5292 2.48 1.55 -1.01 0.15 +0.68 0.33 +0.06 0.27 +0.06 0.33 +0.16 0.31
2309760 5312 2.51 1.55 -1.23 0.16 +1.00 0.38 +0.29 0.29 -0.38 0.40 +0.38 0.33
2305528 5294 2.68 1.51 -1.12 0.17 -0.02 0.76 -0.14 0.57 +0.09 0.41 -0.10 0.65
2311836 5702 2.84 1.47 -0.64 0.20                       +0.46 0.61 -0.26 0.91
2307066 5658 2.93 1.45 -0.84 0.26                       +0.87 0.84 +0.60 0.56
